"","AUC","Pval","FC","clusters"
"Hydroxy-kynurenine",0.70625,0.00316161772852547,0.299,1
"Sedoheptulose-7-phosphate",0.70625,0.00518022274724462,-0.25118,1
"Arabitol",0.705,0.0453939252672499,-0.88797,2
"Deoxyadenosine monophosphate",0.705,0.00330945219303162,-0.042911,1
"Allantoin",0.70375,0.0338600252618074,0.15489,4
"Adenosine monophosphate",0.7025,0.405303361255489,0.093712,3
"Glycine",0.7025,0.0218598908020288,-0.036109,5
"Creatinine",0.695,0.0233962860252671,-0.050657,5
"Isoleucine",0.69,0.0242165363431305,-0.080208,5
"S-Adenosyl-homocysteine",0.6875,0.0388514370936569,0.088272,1
"Oxamic acid",0.6825,0.0339559368247369,-0.2226,3
"Dihydroorotic acid",0.68125,0.0675203674755821,0.14571,3
"Hexose",0.6775,0.0396207065949947,-0.0051247,5
"Epicatechin",0.67625,0.410477340960429,-0.74779,2
"Adenosine cyclic monophosphate",0.67375,0.173450252534227,0.13181,1
"Deoxyadenosine triphosphate",0.67,0.0296000191902457,-0.87488,3
"Pentahydroxyhexanoic acid",0.66875,0.0298635642999723,0.27143,4
"Citric acid+Isocitric acid",0.66625,0.03789913195454,-99,2
"Kynurenic acid",0.66625,0.0597544560219398,0.07087,1
"Hydroxy-proline",0.66,0.0410308178345958,0.19248,4
"Adenine",0.6575,0.117910952591425,-0.031406,1
"Hexose 1-phosphate",0.6575,0.0402575075965776,-0.17359,2
"Carnitine",0.655,0.136465341449408,0.033671,5
"Guanidobutyric acid",0.65,0.00957046520132672,-0.38115,1
"Quinic acid",0.6375,0.0694660820935212,0.45287,3
"Hypoxanthine",0.635,0.56879948434588,0.22896,4
"Homoserine",0.6325,0.101796304738962,-1.2718,2
"Hydroxy-indoleacetic acid",0.6325,0.24227297896712,0.081865,3
"Phenylalanine",0.63,0.200794945557118,-0.023266,5
"Deoxyribose phosphate",0.625,0.0176472489089136,-0.4317,3
"Uridine",0.625,0.288174249277149,-0.12133,4
"Xylitol",0.625,0.116344132570993,0.26344,4
"Uric acid",0.6125,0.385555036168722,0.023791,5
"N-Acetylglutamic acid",0.61125,0.176554114393633,-0.081124,3
"Isopropylmalic acid",0.60375,0.669952958764335,-0.011143,1
"AICAR",0.6,0.0486810162246748,-0.042633,1
"Fructose 1,6-biphosphate",0.6,0.0451816847543909,-0.13953,1
"Muconic acid",0.6,0.047057538865613,-0.15608,1
"Malic acid",0.5975,0.205648346901495,0.1002,4
"Threonine",0.5975,0.388678600742525,-0.019794,5
"N-Acetylneuraminic acid",0.595,0.225979925984027,-0.082433,3
"Hydroxynicotinic acid",0.5925,0.569702262502405,0.016746,1
"Proline",0.5875,0.231060660856382,-0.033841,5
"Homocitrate",0.585,0.35195913698959,-0.0021486,4
"Pyridoxic acid",0.58375,0.271553317761897,-0.30374,1
"Pentose",0.58,0.175285529144442,0.029153,5
"Riboflavin",0.58,0.921108609292784,-0.0043196,1
"Serine",0.5775,0.337909455165615,0.021556,5
"Butyrylcarnitine",0.575,0.0793693781311989,-0.23274,3
"Inosine",0.575,0.23514886805382,-0.22794,1
"Inosine triphosphate",0.575,0.0770014135814717,-0.062203,1
"Salicylic acid",0.57,0.58137089492094,-0.063532,1
"Creatine phosphate",0.56,0.610584531983305,-0.06596,5
"Adenosine triphosphate",0.5575,0.536701690527531,0.42462,2
"Octanoylcarnitine",0.55375,0.345183196888799,-0.31474,3
"Deoxyadenosine",0.55,0.155365438717835,-0.056333,1
"Folic Acid",0.55,0.345772707182459,0.018419,1
"Fumaric acid",0.55,0.388803460612974,-0.0088409,1
"Hexose 6-phosphate",0.55,0.154652994368958,-0.14093,3
"Pantothenic acid",0.55,0.934155817765029,-0.010222,3
"Pyridoxal 5 phosphate",0.55,0.161947962580278,-0.043426,1
"Uridine monophosphate",0.55,0.196052587616658,-0.10849,3
"Creatine",0.545,0.668028906199214,-0.068923,4
"Dihydroxyisovalerate",0.54,0.65135452914075,0.071493,1
"N-Acetyl galactosamine",0.53875,0.653767472610716,0.18967,2
"Indoleacetic acid",0.53375,0.744143780228049,0.008784,4
"Deoxyribose",0.53125,0.530164634394245,-0.17608,3
"Vanillic acid",0.53125,0.518388957260784,0.036212,1
"Aminoadipic acid",0.53,0.911617127733887,-0.047191,2
"Deoxyinosine",0.525,0.323636083864407,-0.019731,1
"Maleic acid",0.525,0.323636083864407,-0.029418,1
"Guanosine",0.5225,0.618042940742748,-0.01927,1
"Lipoamide",0.5225,0.940923577460514,-0.029819,2
"Deoxycholic acid",0.52125,0.667175190264498,-0.0090283,4
"Argininosuccinic acid",0.52,0.580558826070246,0.029922,3
"Citrulline",0.5175,0.598957796138883,-0.032568,5
"Uracil",0.50125,0.605926955210184,-0.044062,3
"Pyridoxal hydrochloride",0.5,0.150794627051421,-0.18652,1
